part,instance,algorithm,runs,feasible_runs,best_cost,mean_cost,std_cost,best_gap_percent,mean_gap_percent,mean_elapsed_time,mean_cpu_time,best_seed
cvrp,A-n32-k5,baseline,3,3,828.7019,828.7019,0.0000,5.7018,5.7018,0.000743,0.000743,42
cvrp,A-n32-k5,cvrp_aco,3,3,817.2447,821.5296,3.7890,4.2404,4.7870,2.939387,2.939292,43
cvrp,A-n32-k5,cvrp_alns,3,3,787.0819,814.8286,24.0293,0.3931,3.9322,0.130565,0.130559,44
cvrp,A-n32-k5,cvrp_bnb_lds,3,3,828.7019,828.7019,0.0000,5.7018,5.7018,0.008374,0.008373,42
cvrp,A-n32-k5,cvrp_ga_island,3,3,828.7001,828.7007,0.0010,5.7015,5.7016,1.062455,1.062385,42
cvrp,A-n32-k5,cvrp_sa,3,3,787.2024,801.0356,23.9597,0.4085,2.1729,0.896407,0.896388,42
cvrp,A-n32-k5,cvrp_tabu,3,3,828.7001,828.7001,0.0000,5.7015,5.7015,0.778276,0.778233,42
cvrp,A-n80-k10,baseline,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.004625,0.004626,42
cvrp,A-n80-k10,cvrp_aco,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,16.319754,15.875992,42
cvrp,A-n80-k10,cvrp_alns,3,3,1814.9490,1828.0020,15.5724,2.9466,3.6870,1.214803,1.176943,44
cvrp,A-n80-k10,cvrp_bnb_lds,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.484035,0.468958,42
cvrp,A-n80-k10,cvrp_ga_island,3,3,1845.2389,1845.2389,0.0000,4.6647,4.6647,2.718121,2.630047,42
cvrp,A-n80-k10,cvrp_sa,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,2.665558,2.641738,42
cvrp,A-n80-k10,cvrp_tabu,3,3,1845.8216,1848.7505,2.5380,4.6978,4.8639,2.686935,2.500384,43
cvrp,E-n22-k4,baseline,3,3,387.5430,387.5430,0.0000,3.3448,3.3448,0.000313,0.000313,42
cvrp,E-n22-k4,cvrp_aco,3,3,381.6895,381.6895,0.0000,1.7839,1.7839,1.124482,1.133234,42
cvrp,E-n22-k4,cvrp_alns,3,3,375.2798,379.4092,4.1185,0.0746,1.1758,0.041098,0.041097,44
cvrp,E-n22-k4,cvrp_bnb_lds,3,3,375.2798,375.2798,0.0000,0.0746,0.0746,1.162171,1.162125,42
cvrp,E-n22-k4,cvrp_ga_island,3,3,375.2798,375.2798,0.0000,0.0746,0.0746,0.550067,0.550053,42
cvrp,E-n22-k4,cvrp_sa,3,3,375.2798,382.2035,6.2083,0.0746,1.9209,0.743432,0.743402,42
cvrp,E-n22-k4,cvrp_tabu,3,3,384.0561,384.0561,0.0000,2.4149,2.4149,0.623910,0.623900,42
cvrp,M-n200-k17,baseline,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,0.048048,0.048050,42
cvrp,M-n200-k17,cvrp_aco,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,99.664023,96.823538,42
cvrp,M-n200-k17,cvrp_alns,3,3,1345.3021,1356.8559,10.0102,5.5139,6.4201,25.368173,24.608169,43
cvrp,M-n200-k17,cvrp_bnb_lds,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,2.908149,2.800105,42
cvrp,M-n200-k17,cvrp_ga_island,3,3,1377.0831,1377.0831,0.0000,8.0065,8.0065,8.048637,7.816806,42
cvrp,M-n200-k17,cvrp_sa,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,5.538643,5.402124,42
cvrp,M-n200-k17,cvrp_tabu,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,5.858621,5.689045,42
cvrp,P-n16-k8,baseline,3,3,461.9418,461.9418,0.0000,2.6537,2.6537,0.000360,0.000331,42
cvrp,P-n16-k8,cvrp_aco,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,0.819697,0.817868,42
cvrp,P-n16-k8,cvrp_alns,3,3,451.3351,451.3351,0.0000,0.2967,0.2967,0.038018,0.038017,42
cvrp,P-n16-k8,cvrp_bnb_lds,3,3,451.3351,451.3351,0.0000,0.2967,0.2967,0.068243,0.069370,42
cvrp,P-n16-k8,cvrp_ga_island,3,3,451.3351,451.5391,0.3533,0.2967,0.3420,0.524779,0.572471,43
cvrp,P-n16-k8,cvrp_sa,3,3,451.3351,451.5391,0.3533,0.2967,0.3420,1.587650,1.465495,42
cvrp,P-n16-k8,cvrp_tabu,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,1.358061,1.253531,42
cvrp,X-n101-k25,baseline,3,3,35062.5378,35062.5378,0.0000,27.0796,27.0796,0.054944,0.053290,42
cvrp,X-n101-k25,cvrp_aco,3,3,34613.1373,34762.9375,259.4615,25.4508,25.9937,23.918309,23.370413,42
cvrp,X-n101-k25,cvrp_alns,3,3,34731.6645,34947.2939,186.8882,25.8804,26.6619,1.530613,1.491135,42
cvrp,X-n101-k25,cvrp_bnb_lds,3,3,35062.5378,35062.5378,0.0000,27.0796,27.0796,3.507129,3.381518,42
cvrp,X-n101-k25,cvrp_ga_island,3,3,33938.6609,34163.4864,212.6028,23.0063,23.8211,3.708342,3.669180,43
cvrp,X-n101-k25,cvrp_sa,3,3,34826.1328,34959.9818,121.2694,26.2228,26.7079,9.459168,9.256266,44
cvrp,X-n101-k25,cvrp_tabu,3,3,34991.2748,34991.2748,0.0000,26.8213,26.8213,7.643492,7.772055,42
