part,instance,instance_path,algorithm,seed,budget_name,budget_value,timeout_sec,best_cost,initial_cost,bks_cost,gap_percent,feasible,errors,elapsed_time,cpu_time,iterations,solution_path
cvrp,P-n16-k8,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/P-n16-k8.vrp,cvrp_ils,42,iterations,300,30,451.9471,461.9418,450.0,0.4327,True,,0.144453,0.144455,300,results/final_experiments/ils/cvrp_solutions/P-n16-k8_ils_seed42.txt
cvrp,P-n16-k8,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/P-n16-k8.vrp,cvrp_ils,43,iterations,300,30,451.9471,461.9418,450.0,0.4327,True,,0.148269,0.148286,300,results/final_experiments/ils/cvrp_solutions/P-n16-k8_ils_seed43.txt
cvrp,P-n16-k8,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/P-n16-k8.vrp,cvrp_ils,44,iterations,300,30,451.9471,461.9418,450.0,0.4327,True,,0.159639,0.159659,300,results/final_experiments/ils/cvrp_solutions/P-n16-k8_ils_seed44.txt
cvrp,E-n22-k4,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/E-n22-k4.vrp,cvrp_ils,42,iterations,300,30,375.2798,387.5430,375.0,0.0746,True,,0.184141,0.184162,300,results/final_experiments/ils/cvrp_solutions/E-n22-k4_ils_seed42.txt
cvrp,E-n22-k4,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/E-n22-k4.vrp,cvrp_ils,43,iterations,300,30,375.2798,387.5430,375.0,0.0746,True,,0.107559,0.107572,300,results/final_experiments/ils/cvrp_solutions/E-n22-k4_ils_seed43.txt
cvrp,E-n22-k4,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/E-n22-k4.vrp,cvrp_ils,44,iterations,300,30,375.2798,387.5430,375.0,0.0746,True,,0.105477,0.105479,300,results/final_experiments/ils/cvrp_solutions/E-n22-k4_ils_seed44.txt
cvrp,A-n32-k5,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n32-k5.vrp,cvrp_ils,42,iterations,500,60,787.0819,828.7019,784.0,0.3931,True,,0.527493,0.527564,500,results/final_experiments/ils/cvrp_solutions/A-n32-k5_ils_seed42.txt
cvrp,A-n32-k5,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n32-k5.vrp,cvrp_ils,43,iterations,500,60,787.0819,828.7019,784.0,0.3931,True,,0.536961,0.536997,500,results/final_experiments/ils/cvrp_solutions/A-n32-k5_ils_seed43.txt
cvrp,A-n32-k5,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n32-k5.vrp,cvrp_ils,44,iterations,500,60,787.0819,828.7019,784.0,0.3931,True,,0.507927,0.507925,500,results/final_experiments/ils/cvrp_solutions/A-n32-k5_ils_seed44.txt
cvrp,A-n80-k10,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n80-k10.vrp,cvrp_ils,42,iterations,800,120,1795.2822,1850.3007,1763.0,1.8311,True,,6.443537,6.443178,800,results/final_experiments/ils/cvrp_solutions/A-n80-k10_ils_seed42.txt
cvrp,A-n80-k10,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n80-k10.vrp,cvrp_ils,43,iterations,800,120,1800.5086,1850.3007,1763.0,2.1275,True,,5.923100,5.923008,800,results/final_experiments/ils/cvrp_solutions/A-n80-k10_ils_seed43.txt
cvrp,A-n80-k10,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/A-n80-k10.vrp,cvrp_ils,44,iterations,800,120,1789.8305,1850.3007,1763.0,1.5219,True,,6.122214,6.121844,800,results/final_experiments/ils/cvrp_solutions/A-n80-k10_ils_seed44.txt
cvrp,X-n101-k25,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/X-n101-k25.vrp,cvrp_ils,42,iterations,1000,180,35015.5277,35062.5378,27591.0,26.9092,True,,0.658939,0.657054,1000,results/final_experiments/ils/cvrp_solutions/X-n101-k25_ils_seed42.txt
cvrp,X-n101-k25,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/X-n101-k25.vrp,cvrp_ils,43,iterations,1000,180,34991.2748,35062.5378,27591.0,26.8213,True,,0.683136,0.683115,1000,results/final_experiments/ils/cvrp_solutions/X-n101-k25_ils_seed43.txt
cvrp,X-n101-k25,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/X-n101-k25.vrp,cvrp_ils,44,iterations,1000,180,34613.1373,35062.5378,27591.0,25.4508,True,,0.722800,0.722750,1000,results/final_experiments/ils/cvrp_solutions/X-n101-k25_ils_seed44.txt
cvrp,M-n200-k17,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/M-n200-k17.vrp,cvrp_ils,42,iterations,1200,300,1341.7122,1383.1988,1275.0,5.2323,True,,85.197692,85.192377,1200,results/final_experiments/ils/cvrp_solutions/M-n200-k17_ils_seed42.txt
cvrp,M-n200-k17,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/M-n200-k17.vrp,cvrp_ils,43,iterations,1200,300,1355.2397,1383.1988,1275.0,6.2933,True,,52.587375,52.587400,1200,results/final_experiments/ils/cvrp_solutions/M-n200-k17_ils_seed43.txt
cvrp,M-n200-k17,/home/awad_moha/ai-lab-assignment3/data/official_cvrp/M-n200-k17.vrp,cvrp_ils,44,iterations,1200,300,1337.5665,1383.1988,1275.0,4.9072,True,,56.634556,56.630696,1200,results/final_experiments/ils/cvrp_solutions/M-n200-k17_ils_seed44.txt
